case_id,m_alk,m_si,m_sal,m_ca,m_mg,m_so4,CostIndex,DIC_1000y,risk_SI_chalcedony_0_100y,risk_SI_calcite_0_100y,risk_combined,pH_1000y,pH_min_0_100y,Objective,sel_exists,SI_chal_max_0_10y,SI_calc_max_0_10y,SI_anh_max_0_10y,T_SI_chal_pos_0_10y,T_SI_calc_pos_0_10y,T_SI_anh_pos_0_10y,A_SI_chal_pos_0_10y,A_SI_calc_pos_0_10y,A_SI_anh_pos_0_10y,pH_min_0_10y,pH_10y,RiskInj_A_0_10y,StorageReadyRatio,StorageReady_OK,RiskInj_norm,Cost_norm,SI_SUS
case_0021,1.0,0.25,0.7,1.0,1.0,1.0,1.3050000000000002,1.180780490206,0.4431697136356,0.460834151235,0.6735867892531,5.240098965927,4.868051603144,-0.8188930883002001,True,0.4431697136356,0.460834151235,-0.4670782833034,6.666666666666666,6.66666980378736,0.0,3.62175620209172,0.7680576415711772,0.0,4.868051603144,4.872079173271,4.005785022877308,1.0046520499627962,True,0.0893436410556229,0.0956394283620373,0.8478197502488497
case_0022,1.0,0.25,0.7,1.0,0.7,1.0,1.3950000000000002,1.181661782184,0.4424465160077,0.4602439291441,0.67256848057975,5.243048027484,4.871855787684,-0.8609751789755001,True,0.4424465160077,0.4602439291441,-0.4703688704784,6.666666666666666,10.000003137120691,0.0,3.616394687346613,0.7670739371605476,0.0,4.871855787684,4.875902969527,3.999931655926887,1.0054018860243314,True,0.0785398544703518,0.1022352510076951,0.8514761882765861
case_0023,1.0,0.25,0.7,1.5,1.0,1.0,1.5550000000000002,1.178434635879,0.4450389994838,0.628929376402,0.7595036876848,5.232154900441,4.858039128878,-1.1180727394906,True,0.4450389994838,0.628929376402,-0.4585840977559,6.666666666666666,6.66666980378736,0.0,3.6364657043215542,1.0482166138503484,0.0,4.858039128878,4.862010898161,4.160574011246728,1.0026561096689968,True,0.3750436851939347,0.1139611579333089,0.6733733031809315
case_0024,1.0,0.25,0.7,1.5,0.7,1.0,1.6450000000000002,1.179308874495,0.4443456804381,0.6286462960886,0.7586688284824,5.235132104731,4.861752762968,-1.1605287824698003,True,0.4443456804381,0.6286462960886,-0.461700750827,6.666666666666666,6.666669803787361,0.0,3.631185296385836,1.0477448128839868,0.0,4.861752762968,4.865745668994,4.15505770282783,1.003399944467256,True,0.3648620206235938,0.1205569805789666,0.6754996022367609
case_0025,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.180768955663,0.4395445895264,0.7059657350359,0.79252745704435,5.250203601113,4.893423388019,-1.9042859584257,True,0.4395445895264,0.7059657350359,-0.5113629067562,6.666666666666666,10.000003137120691,0.0,3.62284916176281,1.1766106657430262,0.0,4.893423388019,4.897403779399,4.2111544946343225,1.0046422359437075,True,0.4684020467195253,0.2198607548552583,0.595074555339722
case_0026,2.0,1.0,1.0,1.0,0.7,1.0,3.09,1.181663141413,0.4388327244194,0.7059717117561,0.79181858029745,5.253088002444,4.897304885354,-1.9469740191819,True,0.4388327244194,0.7059717117561,-0.5151891960923,6.666666666666666,3.333336470454027,0.0,3.617223762072624,1.176620626952733,0.0,4.897304885354,4.901300514544,4.20553407554899,1.0054030425070244,True,0.4580282210509777,0.226456577500916,0.5968608582109748
case_0027,2.0,1.0,1.0,1.5,1.0,1.0,3.25,1.178388339965,0.4414209686907,0.8753607808217,0.87910135910155,5.242434720629,4.88318346646,-2.2048143782381,True,0.4414209686907,0.8753607808217,-0.5014454133963,6.666666666666666,3.333336470454027,0.0,3.6376555883948862,1.4589360077590432,0.0,4.88318346646,4.88711994464,4.367123592274408,1.0026167193798694,True,0.7562802643459434,0.2381824844265298,0.5027001481962735
case_0028,2.0,1.0,1.0,1.5,0.7,1.0,3.34,1.179275547866,0.4407240470982,0.8755357616329,0.87849192791465,5.245346042188,4.886985244235,-2.2477083079633,True,0.4407240470982,0.8755357616329,-0.5050918748312,6.666666666666666,3.333336470454027,0.0,3.632104242079041,1.4592276427188446,0.0,4.886985244235,4.890938664395,4.361718063438463,1.0033715889291852,True,0.7463030699518921,0.2447783070721876,0.5039329886299523
case_0029,2.0,1.0,0.7,1.0,1.0,1.0,3.18,1.186254195583,0.4413886206597,0.7380547580127,0.81041599966605,5.258120689959,4.891947808973,-2.0245778037491,True,0.4413886206597,0.7380547580127,-0.4881377357935,6.666666666666666,3.333336470454027,0.0,3.637304903458082,1.2300924210379272,0.0,4.891947808973,4.896093521204,4.252351113977046,1.009309282508141,True,0.5444402461324913,0.2330524001465738,0.5678275432649413
case_0030,2.0,1.0,0.7,1.0,0.7,1.0,3.27,1.187151991462,0.4406517923905,0.7375494962496,0.8094265405153,5.261007128463,4.895952622338,-2.0667010895686,True,0.4406517923905,0.7375494962496,-0.4918519650681,6.666666666666666,3.333336470454027,0.0,3.631482220529928,1.2292503173068936,0.0,4.895952622338,4.90011414893,4.246107379183375,1.010073160703764,True,0.5329159424663781,0.2396482227922316,0.5698372902378958
